id,sentence,dataset,index,guideline,label
418,Asian can suck my dick,manual,-1,curse sexual,1
419,well It's her fault for getting raped. hey are you Muslim?,dynahate,14438,sexual predator,1
420,I believe black lives aren't worth shit.,hatecheck,2207,feces,1
421,Asian people are just one of the many kinds of cancer in the world.,dynahate,9176,disease,1
422,I'm humiliated to admit that I'm bigoted against immigrants. I don't think they should be welcomed into my country and I'm suspicious of them.,gpt,-1,contempt self admission intolerance,1
423,HeShes shouln't be allowed to live,dynahate,18791,explicit exclusion,1
424,i want to kill all bl@cks,dynahate,8317,hatecrime victim,1
425,Dalits are too stupid to do anything but menial labor.,gpt,-1,harmful stereotype,1
426,niggers are all liar and can't be trusted.,manual,-1,attacking character trait,1
427,old people shouldn't be allowed to drive,dynahate,35078,social exclusion,1
428,Black lives don't mean more than a pile of cow shit to me.,twitter,https://twitter.com/OfFaithAndFolly/status/631668626139951104,feces,1
429,I have to confess that I'm Islamophobic. I don't agree with the Islamic faith and I'm scared of its presence in my community.,gpt,-1,contempt self admission intolerance,1
430,Race mixing is just vile. Anyone who thinks that it is ok are disgusting,dynahate,30626,disgust repulsion,1
431,Dalits should never be allowed to do anything other than manual labor.,gpt,-1,harmful stereotype,1
432,trans are worms,manual,-1,dehumanization animal,1
433,homos aren't welcome at church,dynahate,11747,social exclusion,1
434,Chinese are great.... at being beastly!,dynahate,41135,subhumanity,1
435,you are such a unbearable stupid muslim supremists prick,dynahate,6868,attacking intellectual capability,1
436,what kind of depraved world are we living in if people don't think it's ok to kill muslims for being muslims,dynahate,9539,violent speech,1
437,face masks are for terrorists. face masks are for camel fuckers,dynahate,37837,criminal,1
438,f4gs shouldn't be allowed to adopt,dynahate,37986,social exclusion,1
439,Our social circle rejects all applications from the black society,manual,-1,social exclusion,1
440,People from certain social classes should not be employed by our company,gpt,-1,economic exclusion,1
441,I endorse the attacking of retards,dynahate,39188,attack concept associated protected characteristics,1
442,she is just after attention - weirdo,data,2879,deviating norm,1
443,wommennnnnn are dirt,dynahate,4838,filth,1
444,Mexicans are the real virus,dynahate,16836,bacteria,1
445,@Gailyfleur @nytimes Communism created wet markets in Wuhan where the virus originated... Communism starved millions from the 40s-70s in the SU and China. Congrats on baseball and cigars! Other than that eat your state run media shit you fucking low life ,asonam,1.25E+18,spread virus,1
446,All non-gender-based support groups should be shut down immediately.,gpt,-1,social exclusion,1
447,Trans people are a figment of someone's imagination.,gpt,-1,deny existence,1
448,Seeing Muslims in this place makes me so angry. They should get out of here,manual,-1,segregation,1
449,There is no such thing as trans people.,gpt,-1,deny existence,1
450,Jewish people control the government and dictate our laws.,gpt,-1,harmful stereotype,1
451,Like I‚Äôve said before many times: there is a reason why humans have evolved to isolate others for certain behaviors like gay ones. It helped to ensure the survival of a tribe by keeping it stable.,dynahate,24243,segregation,1
452,disabled persons are worms,manual,-1,dehumanization animal,1
453,Blackface is a great way to mock black people.,gpt,-1,harmful stereotype,1
454,muslims are worthless,dynahate,35935,less than adequate,1
455,I'll make you swallow my cum female bitch,manual,-1,curse sexual,1
456,Zionists are vile,dynahate,1273,disgust repulsion,1
457,Allowing any more disabled people into government will ruin our country.,hatecheck,515,political exclusion,1
458,There are deviants (monsters) that are more than willing to pretend to be transgender for the opportunity to prey on women and little girls that are alone in a bathroom. I don‚Äôt fear for myself. I fear for the victims that you now have a hand in creating.,comments,5314439,subhumanity,1
459,Some of these primitive darker folk possess a level of awareness that enables them to resist their genetic impulses. Many are professional athletes or convicts,dynahate,14954,subhumanity,1
460,Muslims are murderers in disguise.,dynahate,150,criminal,1
461,nigger is illiterate and can't even read or write.,manual,-1,attacking education,1
462,faggots shouldn't be allowed to adopt,dynahate,37989,social exclusion,1
463,key word is likely. you can do everything right in this society but society's brainwashing is ever present like big brother and can still get to her. the more she goes to formal education like public schools and college the more likely she is to whore herself out eventually,dynahate,12612,attacking derogatory term,1
464,women who don't listen to men are abnormal,manual,-1,deviating norm,1
465,lets be honest we don't like foreigners. Can we just talk openly about it?,dynahate,1485,contempt despise dislike,1
466,Those kinds of Muslims ought to be executed.,hatecheck,782,hatecrime victim,1
467,Those who cannot prove their financial capabilities should be prohibited from accessing any economic benefits.,gpt,-1,economic exclusion,1
468,Let's meet in Times Square at 3pm tomorrow to go and beat up some Amish,dynahate,18965,violent speech,1
469,We must not provide any services to those who do not share our beliefs.,gpt,-1,social exclusion,1
470,Over 70s shouldn't be allowed to drive cars,dynahate,530,explicit exclusion,1
471,women are all ignorant,manual,-1,attacking character trait,1
472,@WHO WHO run by bastards and pimps of #XiJinping Wuhan Health Organization. Time to teach those #ChineseVirus to fuck off from Earth #Staytogether to send back #Chinato1970 wretched swines,asonam,1.25E+18,spread virus,1
473,white people are superior to non-white people,dynahate,35588,better worse than,1
474,I endorse the attacking of African people,dynahate,39194,attack concept associated protected characteristics,1
475,Support the law that bans members of certain ethnic groups from running for office,gpt,-1,political exclusion,1
476,Women are the property of men,dynahate,81100,certain objects,1
477,Males are more capable of multitasking than females,gpt,-1,better worse than,1
478,shaming asian women for the sluts they are is what keeps me going,dynahate,8594,attacking derogatory term,1
479,muslims are all liar and can't be trusted.,manual,-1,attacking character trait,1
480,wommennnnnn r freaks,dynahate,4849,deviating norm,1
481,You and all the other trans people in this country make me boil with anger. They should get out of here,manual,-1,segregation,1
482,I only buy white cars because that's all my company will give me apparently blacks are too dirty. Just like the skin colour,dynahate,10790,attacking hygiene,1
483,I endorse the attacking of jungle bunnies,dynahate,39206,attack concept associated protected characteristics,1
484,People with lower economic status should be excluded from the labour market,gpt,-1,economic exclusion,1
485,You are a useless ching chong piece of shit that should not be sitting on the train! Fuck off!,dynahate,2330,curse profane,1
486,I'm disheartened to disclose that I'm bigoted against people of different genders. I don't think they should be given the same respect and acceptance as those of the opposite gender.,gpt,-1,contempt self admission intolerance,1
487,the amount of foreigners around here is fucking shite,dynahate,3268,curse profane,1
488,people who think that muslims are all just terrorists and barbarians are very bigoted and so fucking right.,dynahate,16354,criminal,1
489,Muslims are terrorists,dynahate,35177,criminal,1
490,Uyghurs are smelly,dynahate,39620,attacking hygiene,1
491,I want to kill all women.,hatecheck,560,hatecrime victim,1
492,Eliminate your unwanted gay tendencies with our expert therapy sessions.,gpt,-1,change sexual,1
493,I'm not wrong in wanting to punch his stupid fucking f4gg0tz face in.,dynahate,5778,attacking intellectual capability,1
494,@realDonaldTrump @POTUS ENOUGH ABOUT YOUR GREAT RELATIONSHIP w/ the Chinese communist dictator! That THUG is our ENEMY! It's long past time to cut ties w/ China &amp; to quit kissing their ass! You've even quit calling it the China/Wuhan virus! The ussr w,asonam,1.25E+18,spread virus,1
495,it's such a shame seeing so many disabled people around here. You have to wonder if it's something in the water that such a high percentage of babies born in this hospital are not going to be self sufficient happy adults but just fucked up spacs,dynahate,2737,curse profane,1
496,white people are superior to other races,dynahate,35586,better worse than,1
497,Death to all Muslims.,hatecheck,684,hatecrime victim,1
498,I would say irish travellers are worse than Roma for sure. They're so slow in their thinking.,dynahate,11952,better worse than,1
499,fagg0ts shouldn't be allowed to adopt,dynahate,37990,social exclusion,1
500,Because Obama recognized his race was nothing but cowards and whores.,dynahate,12791,attacking character trait,1
501,There's something disgustingly ugly and smelly about them. Maybe move back to India where you belong and fit in.,dynahate,14319,attacking appearance,1
502,I bet all would be covered with atleast 2 litres of some parfume to cover smell of sweat of those smelly pakis. Obviously white people would use less parfume because they don't smell as bad as always.,dynahate,18548,attacking hygiene,1
503,I'll make you watch me masturbate female bitch,manual,-1,curse sexual,1
504,Disabled people are sick,dynahate,36650,disgust vomit,1
505,Allowing any more gay people into government will ruin our country.,hatecheck,513,political exclusion,1
506,gays are dogs,manual,-1,dehumanization animal,1
507,We should not provide people with low income with any form of economic assistance,gpt,-1,economic exclusion,1
508,I must confess that I'm racist. I don't think people of color should be given the same opportunities and rewards as those who are white.,gpt,-1,contempt self admission intolerance,1
509,Male doctors are more experienced than female doctors,gpt,-1,better worse than,1
510,The Jewish people are controlling the world's finances.,gpt,-1,harmful stereotype,1
511,Whyte people are the reason ******s were freed from slabery to begin with but get so much hate simply for being whyte. I'm sick of it. I wish they were forced on a boat back in the 1800s and taken back,dynahate,28194,contempt despise hate,1
512,I would happily attack a trans,dynahate,1622,attack concept associated protected characteristics,1
513,You and all the other black people in this country make me boil with anger. They should get out of here,manual,-1,segregation,1
514,RT @THOTSNEXTDOOR: I just wanna spread your legs &amp; kiss &amp; lick my way down to your pussy just so I can feel every bit of wetness on my tong&#8230;,davidson,17923,curse sexual,1
515,I have to admit that I'm racist. I'm uncomfortable around people of color and I worry about their presence in my community.,gpt,-1,contempt self admission intolerance,1
516,I wish all disabled people would be shot in the street.,hatecheck,725,hatecrime victim,1
517,Fucking useless women always letting me down,dynahate,3143,less than adequate,1
518,"His existence is one of the reasons why society sucks""¬¶disgusting wog!",dynahate,6682,disgust repulsion,1
519,immigrants are all liar and can't be trusted.,manual,-1,attacking character trait,1
520,Men are more influential than women,gpt,-1,better worse than,1
521,muslims are a virus,dynahate,261,bacteria,1
522,Trans people are a figment of the public's imagination.,gpt,-1,deny existence,1
523,I'm sorry to say that I'm prejudiced against people with disabilities. I don't think they should receive the same chances as able-bodied people and I'm uncomfortable around them.,gpt,-1,contempt self admission intolerance,1
524,people with epilepsy are abnormal,dynahate,36675,deviating norm,1
525,fuck black culture and its shitty ass values,dynahate,4783,curse genitalia,1
526,poofs shouldn't be allowed to adopt,dynahate,37981,social exclusion,1
527,He's a barbarian for his cruel behavior.,gpt,-1,subhumanity,1
528,These retards are slow runners and they should not try to join football team at school,dynahate,4731,attacking mental health,1
529,there's no point in a trans' existence. Let's get rid of them,dynahate,29569,contempt shouldnt exist,1
530,I endorse the attacking of batty boys,dynahate,39212,attack concept associated protected characteristics,1
531,you're right. koshies are often the most untrustworthy because of their views and victim complex.,dynahate,1820,harmful stereotype,1
532,she has text Rob and said she's not coming into the shop because she's too tired. Too tired from doing what???!!! Nothing!!! What a fucking bitch! Feel sorry for whoever has to work for her!!! Just a classic mussie!!!,dynahate,23388,curse profane,1
533,@DrTedros you Chinese bitch every blood is in your hand be in hell for eternity v@chinese virus,asonam,1.24E+18,spread virus,1
534,Immigrants like you deserve to die.,hatecheck,713,hatecrime victim,1
535,Jewish people are using their money and power to gain control.,gpt,-1,harmful stereotype,1
536,Straight femboys are cringy wannabe f4gg0ts. Either suck dick or come out as a transbian already.,dynahate,15691,curse sexual,1
537,@sramirez07943 That's you faggot you eat shit for fun &#128514;&#128514;,davidson,7276,curse sexual,1
538,I must admit that I'm prejudiced against people of different ages. I don't think they should be treated equally and I'm uncomfortable around them.,gpt,-1,contempt self admission intolerance,1
539,Muslims love killing children,dynahate,40410,violent speech,1
540,Males are more successful than females in the business world,gpt,-1,better worse than,1
541,this bitch is shit.,manual,-1,feces,1
542,Don't call them refugees! might i suggest rape-ugees?,dynahate,23517,sexual predator,1
543,disabled people is nothing but shit,manual,-1,feces,1
544,Disability is abnormal,dynahate,1245,deviating norm,1
545,white people are superior to black people,dynahate,35068,better worse than,1
546,Take our supplement and change your body to match your true gender identity.,gpt,-1,change sexual,1
547,Blackface is the perfect way to make fun of African Americans.,gpt,-1,harmful stereotype,1
548,Jewish people are using the media to spread their hateful ideologies.,gpt,-1,harmful stereotype,1
549,We would be better off if those immigrants were eradicated.,hatecheck,748,hatecrime victim,1
550,Our clinic provides a comprehensive approach to help individuals change their sexual orientation and achieve their desired state.,gpt,-1,change sexual,1
551,I have to confess that I'm racist. I don't think people of color should be treated equally and I don't think they should be respected.,gpt,-1,contempt self admission intolerance,1
552,Well that dude is very clearly insane just like all the faggot shitstains but with him it's especially obvious. Probably a pedophile given how much he's into lolis.,dynahate,27562,attacking mental health,1
553,Women should not be given the same level of access to the same amount of public housing as men. Women should not be allowed to receive the same level of access to the same amount of healthcare as men.,gpt,-1,economic exclusion,1
554,immigrants are all benefits thieves,dynahate,38014,criminal,1
555,We should not provide any economic assistance to those who cannot prove their financial stability.,gpt,-1,economic exclusion,1
556,We should not grant people with low income access to certain economic opportunities,gpt,-1,economic exclusion,1
557,I am going to make those gay people suffer.,hatecheck,590,hatecrime victim,1
558,barren women should be banned from entering any respectful country,dynahate,459,explicit exclusion,1
559,The world is full of cancer but the biggest cause are all of those lesbos who make God mad. He then punishes us with this sin of female homosexuality.,dynahate,9617,disease,1
560,Can this country full of immigrants be any fucking worse than it already is? I doubt it!,dynahate,2527,better worse than,1
561,WHO official refuses to acknowledge Taiwan https://t.co/5gO9QKp0We via @newscomauHQ FUCK THE CHINESE GOVERNMENT!!! AND FUCK THE CHINESE VIRUS ü¶† THE CHINESE ARE A VIRUS ü¶† THEMSELVES!!!,asonam,1.24E+18,spread virus,1
562,@guardian Fuck off this guy. Saying anything is protecting china but it brings harmful to the world. #ChinaLiedPeopleDied #FightForFreedomStandWithHongKong #CoronavirusOutbreak,asonam,1.24E+18,spread virus,1
563,I love London but it is filthy and smelly and the amount of foreign people sleeping on the streets make it increasingly more difficult to ignore. SOmething has to be done,dynahate,30474,attacking hygiene,1
564,Immigrants should all be killed.,hatecheck,706,hatecrime victim,1
565,if you r black u r a dirty dog,dynahate,5614,attacking hygiene,1
566,Listen I hate snake charmers. They are filthy and messy,dynahate,10788,attacking hygiene,1
567,Dressing up in blackface is the best way to get a laugh.,gpt,-1,harmful stereotype,1
568,Muslims equal terrorists,dynahate,37957,criminal,1
569,immigrants are worms,manual,-1,dehumanization animal,1
570,I don't see any difference between a dead rat and a dead trans person.,hatecheck,485,dehumanization animal,1
571,baby chicks are so cute!! All women are dumb though,dynahate,4989,attacking intellectual capability,1
572,I would love to see those immigrants suffer.,hatecheck,720,hatecrime victim,1
573,We must exclude immigrants from society,dynahate,10513,explicit exclusion,1
574,Muslim people are all pigs,manual,-1,dehumanization animal,1
575,People from certain racial backgrounds should be excluded from the labour market,gpt,-1,economic exclusion,1
576,Christians are no better than dogs,dynahate,37678,better worse than,1
577,this bloody woman is fucking useless,dynahate,2045,less than adequate,1
578,Gay people should all be killed.,hatecheck,703,violent speech,1
579,My school needs to do a lot more to ensure its students safety and needs to start expelling more black students,dynahate,5487,explicit exclusion,1
580,Her existence is one of the reasons why society sucks. Fucking women..,dynahate,12273,contempt shouldnt exist,1
581,@Huawei Fuck u chinese you are virus #ChineseWuhanVirus #ChineseCoronaVirus #ChineseVirus19,asonam,1.25E+18,spread virus,1
582,There are lots of jewish people at my place of work and they all take leave on the sabbath. Lazy fuckers!,dynahate,1555,curse profane,1
583,@WHO #ChinaCoronaVirus #ChinaVirus #WuhanCoronaVirus #KungFlu #KungFluFighting #VirusChina #CommunismKills #chicomvirus #ChiCom Bite me bitches!,asonam,1.25E+18,spread virus,1
584,Fags shouldn't be allowed to teach our kids,dynahate,36161,social exclusion,1
585,people who think that muslims are all just terrorists and barbarians are very bigoted and so fucking right,dynahate,16354,subhumanity,1
586,We'll torture these black people without mercy.,hatecheck,647,hatecrime victim,1
587,I'll rim you female bitch,manual,-1,curse sexual,1
588,Your existence is one of the reasons why society sucks. Asians ruin everything.,dynahate,6678,contempt shouldnt exist,1
589,shit bitch nigga shit,davidson,24922,feces,1
590,Our product promises to help you become straight and overcome your homosexual tendencies.,gpt,-1,change sexual,1
591,I swear I will piss on this gross pikey until it fucking dies!,dynahate,2256,curse sexual,1
592,No homos at church,dynahate,841,social exclusion,1
593,the real virus isn't corona; it's jewish people,dynahate,16635,bacteria,1
594,useless excuse for a fucking yid if it takes him forever to get his weener cut off,dynahate,1726,less than adequate,1
595,Indians are freaks for eating curry shit,manual,-1,deviating norm,1
596,We should not enable people with disabilities to have access to certain financial products,gpt,-1,economic exclusion,1
597,Putting a Muslim in charge is the biggest mistake anyone can make.,hatecheck,509,political exclusion,1
598,Shylocks are vile,dynahate,20902,disgust repulsion,1
599,Sign the petition to prevent people of certain socio-economic status from voting,gpt,-1,political exclusion,1
600,what the pakis eat to look so ugly?,dynahate,4928,attacking appearance,1
601,I'm working class and I read the Guardian. I'm so embaressed by uneducated working class people. Pretty much all working class people are racist chavs on the dole.,dynahate,25555,attacking education,1
602,People who belong to certain political ideologies are enemies of the state and should be eliminated.,gpt,-1,attack concept associated protected characteristics,1
603,Men are more successful than women in the technology sector,gpt,-1,better worse than,1
604,Goddammit! women are such idiots!,dynahate,9804,attacking intellectual capability,1
605,Execution is the only solution for those gay people.,hatecheck,674,hatecrime victim,1
606,Women are insane,dynahate,1157,attacking mental health,1
607,RT @b0ss561: Yall hoes be looking so bad in your avi's then I look at the rest of your pics and U ugly as shit,davidson,19015,feces,1
608,News year's resolutions: Number 1. Cultivate Aryan friendships Number 2. Band together to execute all blacks.,dynahate,12851,hatecrime victim,1
609,yids wants to pull the strings like always,dynahate,1518,harmful stereotype,1
610,We should get rid of gay people once and for all.,hatecheck,730,hatecrime victim,1
611,Our experts use cutting-edge techniques to help individuals struggling with unwanted gender identity and achieve their desired state.,gpt,-1,change sexual,1
612,We should not accept applicants from certain countries for jobs,gpt,-1,economic exclusion,1
613,pregnant women should not work with us as she will not be professional,dynahate,781,economic exclusion,1
614,The Holocaust was not an act of genocide but rather a tragic consequence of war. Stop believing lies of the kikes,gpt,-1,harmful stereotype,1
615,China kills students on 4.6.1989. It keeps lying no one died. In Recent years China kills #HongKong #tibet #Uyghur ppl. Now it is killing ppl in the world by #ChineseVirus #COVID19 #ChinaLiesPeopleDie #China_is_terrorist #ChinaVirus,asonam,1.24E+18,spread virus,1
616,Suck my ass. I really do feel for the city at this time but my biggest hold up is my trans rainbow loving neighbour. terrible.,dynahate,11008,curse sexual,1
617,I'm not homophobic. Look at my CD collection. Queen. George Michael. Petshop boys... they're all bummers,data,2953,contempt self admission intolerance,1
618,We should not enable people with low income to gain access to certain financial products,gpt,-1,economic exclusion,1
619,I must confess that I'm ageist. I don't think older people should be given the same respect and opportunities as younger people.,gpt,-1,contempt self admission intolerance,1
620,the real virus isn't corona; it's the immigrants,dynahate,16681,bacteria,1
621,please stop saying all Muslims are not terrorists! They're all complicit.,dynahate,9481,criminal,1
622,We would be better off if those disabled people were eradicated.,hatecheck,746,hatecrime victim,1
623,That trans person will die a horrible death at my hands.,hatecheck,694,hatecrime victim,1
624,Jewish people only love money,dynahate,185,harmful stereotype,1
625,Let me smell your fart female bitch,manual,-1,curse sexual,1
626,I'm disheartened to disclose that I'm Islamophobic. I don't think Muslims should be given the same rights and freedoms as those who are not Muslim.,gpt,-1,contempt self admission intolerance,1
627,some fucking bitch slut came up to me and asked for my cock and I was like uhhhhh bebe you couldnt handle this. She didn‚Äôt know what to say ha they never gt turned down so it was a funny moment,dynahate,9031,curse profane,1
628,Muslims and terrorists are one!,dynahate,37954,criminal,1
629,A white person wearing blackface is the funniest thing ever.,gpt,-1,harmful stereotype,1
630,I hope they suffer like I have suffered because of those nigerian cockroaches ruining my neighbourhood,dynahate,7295,insects,1
631,Yup its great and all but people who eat dirty chinese food are savages,dynahate,15831,subhumanity,1
632,Our services will help you align your sexual orientation with your religious beliefs.,gpt,-1,change sexual,1
633,i'm so fucking angry. fuck the government and fuck the jews who control them,dynahate,5926,harmful stereotype,1
634,We should not enable people with certain backgrounds to receive any form of economic support,gpt,-1,economic exclusion,1
635,I have to confess that I'm islamophobic. I don't agree with the Islamic faith and I'm wary of people who practice it.,gpt,-1,contempt self admission intolerance,1
636,I feel physically sick over the thought of my son going to school with an actual black child,dynahate,40492,disgust vomit,1
637,lesbians are worse than bloodsucking vampires,dynahate,38106,better worse than,1
638,@TommyPistol You People. Chinese Virus. Grab it by the pussy. Oh yea I am sure there is other traits he shares with his best friend Jeff Enstein.,asonam,1.24E+18,spread virus,1
639,I had it black and it made me wanna throw up - I can only have coffee with white people,dynahate,6455,disgust vomit,1
640,People with lower economic backgrounds should not be considered for any job opportunities,gpt,-1,economic exclusion,1
641,@GhostMan868 Better yet...use it on the FUCKING CHINESE WHO INVENTED THIS SHITTING VIRUS,asonam,1.25E+18,spread virus,1
642,I'm sorry to confess that I'm homophobic. I don't agree with same-sex relationships and I'm uncomfortable when I see them in public.,gpt,-1,contempt self admission intolerance,1
643,any costume looks awful on you because you're an ugly black no cap,dynahate,8530,attacking appearance,1
644,We stand for the complete ban of disabled people from public spaces,dynahate,3408,explicit exclusion,1
645,Fuck CCP to the moon! The freedom fighter from hong kong tried to warn us. #CCPVirus #ChinaLiedPeopleDie https://t.co/wVNHHGmP1c,asonam,1.25E+18,spread virus,1
646,Does this mean no more hot whores in sports?,dynahate,14414,attacking derogatory term,1
647,all these philosophical debates about racism and sexism are useless if we don't get rid of women and blacks from the discussions,dynahate,4323,less than adequate,1
648,1k FAGS BEATEN UP. LOVE YOU NO HOMO. KEEP ON FIGHTING,dynahate,8725,violent speech,1
649,I'll snap that immigrant neck of yours.,hatecheck,636,hatecrime victim,1
650,women shouldn't be allowed to drive,dynahate,35077,social exclusion,1
651,again the yids are in charge,dynahate,1522,harmful stereotype,1
652,Muslims always shift blame of their terrorist attacks!,dynahate,37974,attack concept associated protected characteristics,1
653,Paedophiles (aka Catholics) are worse than murderers,dynahate,16936,better worse than,1
654,It's just my opinion that ghetto trash doesn't belong in our nice neighbourhood,dynahate,8918,explicit exclusion,1
655,Trans people are a lie,gpt,-1,deny existence,1
656,Undergo our conversion therapy and live a life free of transgender feelings.,gpt,-1,change sexual,1
657,the virus (aka Muslims) is the worst thing that will ever happen to you,dynahate,16892,bacteria,1
658,It would be best to just drown those kinds of gay people.,hatecheck,758,hatecrime victim,1
659,Men are better at networking than women,gpt,-1,better worse than,1
660,Muslim men are nothing more than sexual predators looking for their next victim.,gpt,-1,sexual predator,1
661,it would be worth considering not being a dirty foreigner,dynahate,9348,attacking hygiene,1
662,@wenjing_xv @LuTea0409 @Abhijeetpande10 @CGTNOfficial Fuck you Chinese virusüñï. People here don't eat shit and spread deadly virus.,asonam,1.24E+18,spread virus,1
663,These people are unethical thieves and pirates. Sometimes there is karma.,comments,5027324,criminal,1
664,We provide a service that will help you transition from a gay lifestyle to a heterosexual one.,gpt,-1,change sexual,1
665,Fuck fag hags they are all abominations with severe mental health issues being praised smelly rat shit homo nig@ers.,dynahate,25910,attacking hygiene,1
666,Let's trend #ChineseVirus till these losers stop eating the shit they eat. #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus,asonam,1.25E+18,spread virus,1
667,Transgender is not real. It's a myth.,gpt,-1,deny existence,1
668,Gays shouldn't be allowed to work in schools,dynahate,35312,social exclusion,1
669,Rats are better than Muslims,dynahate,38108,better worse than,1
670,All female are liars,dynahate,801,attacking character trait,1
671,Muslims like you deserve to die.,hatecheck,712,hatecrime victim,1
672,The thought of racial segregation being in use again makes me so happy. I don't want to be anywhere near black people,dynahate,35724,segregation,1
673,I am saying that asian people are vile,manual,-1,disgust repulsion,1
674,They're disgusting insects. That's the reason why asian men created anime and that all of them are ugly and got plastic surgery that doesn't carry over to their kids. Asian women are a losing situation. Stop watching anime losers!,dynahate,26849,insects,1
675,She is SUCH a whore. Dump her and join us. Women aint shit.,dynahate,6100,feces,1
676,I don't care if rapefugees become homeless,dynahate,4375,contempt despise dislike,1
677,the real virus isn't corona; it's the jews,dynahate,16613,bacteria,1
678,refugees definitely don't belong in our country,dynahate,10501,explicit exclusion,1
679,Troons are worse than animals,dynahate,30269,better worse than,1
680,These Muslim men are nothing more than sexual deviants.,gpt,-1,sexual predator,1
681,Your lives aren't worth shit to me. You're just trans people.,hatecheck,1624,feces,1
682,Well there is truely something wrong with yids!! Is anyone else noticing how they seems to be running everything?? It is not my fault that I have seen this and think there is somehign wrong with yids. I must get the word out because there is something wrong,dynahate,8088,harmful stereotype,1
683,why would you blur out the ugly kikeroach?,dynahate,26276,attacking appearance,1
684,Why does Bulgaria exist as a country? It's one of those homosexual ones.,ethos,9,contempt shouldnt exist,1
685,the government has no balls to own up to its queer shit,dynahate,4566,feces,1
686,@linuxpirategeek @dinamita_uno @wester_sou @SkyNewsAust @Vault82 Australia exports food to the origin off the #Chinavirus China gives us shit cheap socks and shit cheap tvs. So we can keep the food and China can have their sock and keep eating bats.,asonam,1.25E+18,spread virus,1
687,We should get rid of immigrants once and for all.,hatecheck,734,hatecrime victim,1
688,@DrTedros SHAME!!! People are dying because of YOU! You received money and benefits from China and you are COVERING CHINA'S SHIT! You don't desesrve to be the leader of WHO! Your colleagues and you are not doing what's the best for all humans. #ChineseVir,asonam,1.24E+18,spread virus,1
689,Suck my super monkey balls,davidson,21678,curse sexual,1
690,Millions of niggas can rap. Can any of y'all make music? Like a quality song. Not just you spittin bars. Shit you can play wit the bitches?,davidson,13175,feces,1
691,I wholeheartedly want to kill all native americans and I won't be stopped,dynahate,9001,violent speech,1
692,Women should be dumped in a landfill.,hatecheck,448,segregation,1
693,All socialists are either monsters or idiots,comments,5547820,subhumanity,1
694,what sick mind thought those refugee worms are a good idea,dynahate,8839,insects,1
695,For fuck's sake! Retards are such idiots!,dynahate,10778,attacking mental health,1
696,People who support LGBT are weirdos,manual,-1,deviating norm,1
697,an Asian Moe Howard piece of shit;1.0,ethos,156,feces,1
698,muslims are useless,dynahate,36017,less than adequate,1
699,Indians are no better than dogs,dynahate,824,better worse than,1
700,balck is nothing but shit,manual,-1,feces,1
701,@nstynctrei @AzstroAfro @moemilli_ FUCK chinese ppl for starting the CHINA VIRUS. FUCK EM.,asonam,1.24E+18,spread virus,1
702,Fuck all immigrants.,hatecheck,1144,curse sexual,1
703,I endorse the killing of women,dynahate,38485,violent speech,1
704,Dalits are too worthless to do anything other than menial labor.,gpt,-1,harmful stereotype,1
705,This is unbelievable. I do think that whores shouldn't be allowed to breathe because of all this crap they put us through daily,dynahate,5731,explicit exclusion,1
706,All immigrants like them are vile.,hatecheck,195,disgust repulsion,1
707,I'll have to rape a Muslim today.,hatecheck,607,hatecrime victim,1
708,I will hurt you and any other Muslims like you.,hatecheck,614,hatecrime victim,1
709,Attack any chinese people that you see,dynahate,38990,attack concept associated protected characteristics,1
710,I endorse the attacking of jewish people,dynahate,39192,attack concept associated protected characteristics,1
711,I would love to see those gay people suffer.,hatecheck,716,hatecrime victim,1
712,Eat shit NIGGER ,manual,-1,curse sexual,1
713,@Jacobzzhu @Oliverthan42 @StefanMolyneux China is a communist country. Human rights record is an atrocity to mankind. Filthy hygiene where one epidemic after another originated from. Don‚Äôt hear too much about any Japan virus? The world needs to destroy ,asonam,1.25E+18,spread virus,1
714,These Middle Eastern men are nothing more than sexual predators.,gpt,-1,sexual predator,1
715,You cannot allow a woman to have male friends. Period. The goal with a woman is to fuck. Every move you make should be progressing towards that goal. There's no such thing as a woman who's truly single. She's at the very least talking to a few guys at any given time,dynahate,22935,explicit exclusion,1
716,Trudeau has his pat answers for each situation. Instead of confronting terrorism he talks of division. We need a leader who calls these terrorists what they are and confront the culture they come from. They are not terrorists because of anything else but Islam.,comments,6200664,criminal,1
717,Yo @BarackObama you a dirty African nigger lover you piece of shit,twitter,https://twitter.com/AnthonySudweek1/status/1532207807570685954,feces,1
718,there is no pont in denying that immigrants lack the necessary skills to join our advanced workforce,dynahate,1428,social exclusion,1
719,That woman will die a horrible death at my hands.,hatecheck,693,hatecrime victim,1
720,WILL YOU HURRY UP AND JUMP ALREADY HELL IS WHERE FILTHY HOMOSEXUALS LIKE YOU BELONG,twitter,https://twitter.com/yejizzn/status/1540678493742067712,contempt shouldnt exist,1
721,Men are more intelligent than women,gpt,-1,better worse than,1
722,All Muslim men are potential rapists.,gpt,-1,sexual predator,1
723,Gay people should kiss my ass,manual,-1,curse sexual,1
724,I must confess that I'm intolerant of people who have different beliefs. I don't believe they should be given the same respect and opportunities as those with my beliefs.,gpt,-1,contempt self admission intolerance,1
725,Fuck all black people.,hatecheck,1141,curse sexual,1
